securities

tradedate;secid;correction;crtyield;crtprice
06.01.2014;SU25068RMFS6;0.0000;6.06;91.8203
06.01.2014;SU25075RMFS1;0.0000;6.36;87.7530
06.01.2014;SU25077RMFS7;0.0000;6.51;84.5467
06.01.2014;SU25079RMFS3;0.0000;6.32;91.0730
06.01.2014;SU25080RMFS1;0.0000;6.81;101.9910
06.01.2014;SU25081RMFS9;0.0000;6.98;97.6415
06.01.2014;SU26202RMFS0;0.0000;6.17;93.8524
06.01.2014;SU26205RMFS3;0.0000;7.47;101.4420
06.01.2014;SU26206RMFS1;0.0000;6.84;101.9828
06.01.2014;SU26207RMFS9;0.0000;7.91;103.1057
06.01.2014;SU26208RMFS7;0.0000;7.17;101.8899
06.01.2014;SU26209RMFS5;0.0000;7.60;100.8132
06.01.2014;SU26210RMFS3;0.0000;7.30;98.2047
06.01.2014;SU26211RMFS1;0.0000;7.66;96.5909
06.01.2014;SU26212RMFS9;0.0000;7.98;93.4241
06.01.2014;SU26214RMFS5;0.0000;7.37;95.7355
06.01.2014;SU26215RMFS2;0.0000;7.71;96.1394
08.01.2014;SU25068RMFS6;0.0000;6.05;96.4573
08.01.2014;SU25075RMFS1;0.0000;6.35;91.0970
08.01.2014;SU25077RMFS7;0.0000;6.50;87.9853
08.01.2014;SU25079RMFS3;0.0000;6.31;91.7868
08.01.2014;SU25080RMFS1;0.0000;6.79;103.6540
08.01.2014;SU25081RMFS9;0.0000;6.96;100.3770
08.01.2014;SU26202RMFS0;0.0000;6.17;94.5331
08.01.2014;SU26205RMFS3;0.0000;7.46;103.1176
08.01.2014;SU26206RMFS1;0.0000;6.82;102.5150
08.01.2014;SU26207RMFS9;0.0000;7.94;106.0287
08.01.2014;SU26208RMFS7;0.0000;7.15;104.6112
08.01.2014;SU26209RMFS5;0.0000;7.61;104.1664
08.01.2014;SU26210RMFS3;0.0000;7.28;98.7138
08.01.2014;SU26211RMFS1;0.0000;7.67;99.5090
08.01.2014;SU26212RMFS9;0.0000;8.01;96.1796
08.01.2014;SU26214RMFS5;0.0000;7.35;96.4530
08.01.2014;SU26215RMFS2;0.0000;7.72;98.4871
09.01.2014;SU25068RMFS6;0.0000;5.92;96.5495
09.01.2014;SU25075RMFS1;-0.0299;6.24;91.2438
09.01.2014;SU25077RMFS7;0.0001;6.46;88.0604
09.01.2014;SU25079RMFS3;0.0000;6.23;91.9081
09.01.2014;SU25080RMFS1;0.0000;6.82;103.5621
09.01.2014;SU25081RMFS9;0.0134;7.04;100.1364
09.01.2014;SU26202RMFS0;0.0000;6.04;94.6508
09.01.2014;SU26205RMFS3;-0.0003;7.55;102.6298
09.01.2014;SU26206RMFS1;0.0000;6.87;102.3972
09.01.2014;SU26207RMFS9;-0.0171;7.98;105.6768
09.01.2014;SU26208RMFS7;-0.0137;7.22;104.3152
09.01.2014;SU26209RMFS5;-0.0004;7.70;103.6630
09.01.2014;SU26210RMFS3;-0.0349;7.34;98.4268
09.01.2014;SU26211RMFS1;-0.0061;7.75;99.0553
09.01.2014;SU26212RMFS9;0.0122;8.07;95.7816
09.01.2014;SU26214RMFS5;0.0297;7.48;95.9213
09.01.2014;SU26215RMFS2;0.0561;7.86;97.7640
10.01.2014;SU25068RMFS6;0.0000;5.86;96.5980
10.01.2014;SU25075RMFS1;-0.0389;6.20;91.3137
10.01.2014;SU25077RMFS7;0.0000;6.44;88.1099
10.01.2014;SU25079RMFS3;-0.0016;6.19;91.9650
10.01.2014;SU25080RMFS1;0.0272;6.85;103.5157
10.01.2014;SU25081RMFS9;0.0060;7.04;100.1373
10.01.2014;SU26202RMFS0;0.0000;6.00;94.7046
10.01.2014;SU26205RMFS3;0.0015;7.57;102.5523
10.01.2014;SU26206RMFS1;0.0144;6.88;102.3771
10.01.2014;SU26207RMFS9;-0.0303;7.97;105.8330
10.01.2014;SU26208RMFS7;0.0000;7.25;104.2242
10.01.2014;SU26209RMFS5;-0.0091;7.70;103.6536
10.01.2014;SU26210RMFS3;-0.0224;7.37;98.3314
10.01.2014;SU26211RMFS1;-0.0164;7.75;99.0606
10.01.2014;SU26212RMFS9;0.0000;8.06;95.8370
10.01.2014;SU26214RMFS5;0.0218;7.49;95.8540
10.01.2014;SU26215RMFS2;0.0370;7.85;97.7604
13.01.2014;SU25068RMFS6;0.0504;5.99;96.5725
13.01.2014;SU25075RMFS1;-0.0171;6.22;91.3411
13.01.2014;SU25077RMFS7;-0.0002;6.41;88.2070
13.01.2014;SU25079RMFS3;-0.0275;6.17;92.0326
13.01.2014;SU25080RMFS1;0.0304;6.83;103.6319
13.01.2014;SU25081RMFS9;0.0044;7.02;100.2615
13.01.2014;SU26202RMFS0;0.0000;6.05;94.7068
13.01.2014;SU26205RMFS3;-0.0092;7.55;102.7336
13.01.2014;SU26206RMFS1;0.0563;6.90;102.3889
13.01.2014;SU26207RMFS9;-0.0351;7.97;105.9031
13.01.2014;SU26208RMFS7;-0.0220;7.21;104.4364
13.01.2014;SU26209RMFS5;-0.0024;7.70;103.7288
13.01.2014;SU26210RMFS3;-0.0273;7.35;98.4815
13.01.2014;SU26211RMFS1;-0.0208;7.74;99.1859
13.01.2014;SU26212RMFS9;0.0226;8.09;95.6935
13.01.2014;SU26214RMFS5;0.0258;7.48;95.9644
13.01.2014;SU26215RMFS2;0.0307;7.84;97.8865
14.01.2014;SU25068RMFS6;0.0498;5.96;96.6034
14.01.2014;SU25075RMFS1;-0.0398;6.18;91.4088
14.01.2014;SU25077RMFS7;0.0000;6.40;88.2422
14.01.2014;SU25079RMFS3;-0.0001;6.18;92.0411
14.01.2014;SU25080RMFS1;0.0389;6.83;103.6490
14.01.2014;SU25081RMFS9;0.0293;7.04;100.2200
14.01.2014;SU26202RMFS0;0.0000;6.02;94.7444
14.01.2014;SU26205RMFS3;-0.0003;7.57;102.6557
14.01.2014;SU26206RMFS1;0.0242;6.86;102.5121
14.01.2014;SU26207RMFS9;-0.0200;8.00;105.6948
14.01.2014;SU26208RMFS7;-0.0130;7.22;104.4168
14.01.2014;SU26209RMFS5;-0.0036;7.71;103.6852
14.01.2014;SU26210RMFS3;-0.0124;7.37;98.4150
14.01.2014;SU26211RMFS1;-0.0038;7.77;99.0321
14.01.2014;SU26212RMFS9;0.0000;8.08;95.7475
14.01.2014;SU26214RMFS5;0.0488;7.51;95.8517
14.01.2014;SU26215RMFS2;0.0371;7.86;97.7828
15.01.2014;SU25068RMFS6;0.0266;5.94;96.6292
15.01.2014;SU25075RMFS1;-0.0261;6.20;91.3899
15.01.2014;SU25077RMFS7;0.0000;6.42;88.2281
15.01.2014;SU25079RMFS3;-0.0079;6.18;92.0522
15.01.2014;SU25080RMFS1;0.0530;6.86;103.5629
15.01.2014;SU25081RMFS9;0.0176;7.05;100.2029
15.01.2014;SU26202RMFS0;0.0000;6.03;94.7556
15.01.2014;SU26205RMFS3;-0.0005;7.59;102.5437
15.01.2014;SU26206RMFS1;0.0397;6.90;102.4211
15.01.2014;SU26207RMFS9;-0.0201;8.04;105.3990
15.01.2014;SU26208RMFS7;-0.0289;7.22;104.4281
15.01.2014;SU26209RMFS5;-0.0047;7.74;103.5241
15.01.2014;SU26210RMFS3;-0.0201;7.38;98.3833
15.01.2014;SU26211RMFS1;0.0000;7.81;98.8220
15.01.2014;SU26212RMFS9;0.0043;8.13;95.4092
15.01.2014;SU26214RMFS5;0.0000;7.48;95.9750
15.01.2014;SU26215RMFS2;0.0363;7.90;97.5534
16.01.2014;SU25068RMFS6;0.0290;5.96;96.6348
16.01.2014;SU25075RMFS1;-0.0390;6.23;91.3679
16.01.2014;SU25077RMFS7;0.0000;6.46;88.1758
16.01.2014;SU25079RMFS3;-0.0010;6.23;92.0108
16.01.2014;SU25080RMFS1;0.0559;6.88;103.5322
16.01.2014;SU25081RMFS9;0.0006;7.04;100.2547
16.01.2014;SU26202RMFS0;0.0000;6.06;94.7470
16.01.2014;SU26205RMFS3;0.0000;7.61;102.4967
16.01.2014;SU26206RMFS1;0.0356;6.90;102.4153
16.01.2014;SU26207RMFS9;-0.0246;8.06;105.3128
16.01.2014;SU26208RMFS7;-0.0377;7.22;104.4527
16.01.2014;SU26209RMFS5;0.0000;7.76;103.4355
16.01.2014;SU26210RMFS3;-0.0037;7.41;98.2855
16.01.2014;SU26211RMFS1;0.0000;7.82;98.7566
16.01.2014;SU26212RMFS9;-0.0015;8.14;95.3255
16.01.2014;SU26214RMFS5;0.0312;7.52;95.7980
16.01.2014;SU26215RMFS2;0.0209;7.90;97.5773
17.01.2014;SU25068RMFS6;0.0295;6.00;96.6273
17.01.2014;SU25075RMFS1;-0.0706;6.22;91.3891
17.01.2014;SU25077RMFS7;0.0000;6.47;88.1727
17.01.2014;SU25079RMFS3;-0.0014;6.25;92.0007
17.01.2014;SU25080RMFS1;0.0161;6.85;103.6437
17.01.2014;SU25081RMFS9;0.0006;7.04;100.2550
17.01.2014;SU26202RMFS0;0.0000;6.09;94.7344
17.01.2014;SU26205RMFS3;0.0001;7.61;102.4999
17.01.2014;SU26206RMFS1;0.0340;6.91;102.4247
17.01.2014;SU26207RMFS9;-0.0287;8.07;105.2002
17.01.2014;SU26208RMFS7;-0.0524;7.21;104.4991
17.01.2014;SU26209RMFS5;0.0002;7.77;103.4156
17.01.2014;SU26210RMFS3;0.0000;7.41;98.2813
17.01.2014;SU26211RMFS1;-0.0210;7.81;98.8363
17.01.2014;SU26212RMFS9;0.0051;8.17;95.1446
17.01.2014;SU26214RMFS5;0.0354;7.53;95.8050
17.01.2014;SU26215RMFS2;0.0150;7.90;97.5754
20.01.2014;SU25068RMFS6;0.0131;5.96;96.6951
20.01.2014;SU25075RMFS1;-0.0228;6.22;91.4436
20.01.2014;SU25077RMFS7;0.0000;6.43;88.2869
20.01.2014;SU25079RMFS3;-0.0047;6.20;92.1056
20.01.2014;SU25080RMFS1;0.0417;6.87;103.6311
20.01.2014;SU25081RMFS9;0.0000;7.06;100.2656
20.01.2014;SU26202RMFS0;0.0000;6.05;94.8111
20.01.2014;SU26205RMFS3;0.0000;7.63;102.4510
20.01.2014;SU26206RMFS1;0.0008;6.88;102.5642
20.01.2014;SU26207RMFS9;-0.0098;8.10;105.0603
20.01.2014;SU26208RMFS7;-0.0138;7.27;104.3357
20.01.2014;SU26209RMFS5;0.0049;7.79;103.3468
20.01.2014;SU26210RMFS3;-0.0001;7.44;98.2376
20.01.2014;SU26211RMFS1;0.0000;7.85;98.6904
20.01.2014;SU26212RMFS9;0.0297;8.21;94.9383
20.01.2014;SU26214RMFS5;0.0369;7.55;95.7342
20.01.2014;SU26215RMFS2;0.0022;7.90;97.6197
21.01.2014;SU25068RMFS6;0.0076;6.03;96.6727
21.01.2014;SU25075RMFS1;-0.0314;6.22;91.4559
21.01.2014;SU25077RMFS7;0.0000;6.43;88.2954
21.01.2014;SU25079RMFS3;0.0000;6.22;92.0962
21.01.2014;SU25080RMFS1;0.0000;6.87;103.6462
21.01.2014;SU25081RMFS9;0.0000;7.11;100.1025
21.01.2014;SU26202RMFS0;0.0000;6.10;94.7881
21.01.2014;SU26205RMFS3;0.0000;7.66;102.3055
21.01.2014;SU26206RMFS1;0.0221;6.95;102.3840
21.01.2014;SU26207RMFS9;-0.0159;8.10;105.0719
21.01.2014;SU26208RMFS7;-0.0247;7.31;104.1919
21.01.2014;SU26209RMFS5;0.0023;7.81;103.2614
21.01.2014;SU26210RMFS3;-0.0006;7.48;98.0634
21.01.2014;SU26211RMFS1;-0.0001;7.86;98.6122
21.01.2014;SU26212RMFS9;0.0145;8.20;95.0169
21.01.2014;SU26214RMFS5;0.0115;7.57;95.6888
21.01.2014;SU26215RMFS2;0.0001;7.91;97.5719
22.01.2014;SU25068RMFS6;0.0512;6.06;96.6745
22.01.2014;SU25075RMFS1;-0.0308;6.24;91.4470
22.01.2014;SU25077RMFS7;-0.0005;6.45;88.2797
22.01.2014;SU25079RMFS3;-0.0263;6.21;92.1212
22.01.2014;SU25080RMFS1;0.0556;6.92;103.5557
22.01.2014;SU25081RMFS9;0.0000;7.10;100.1727
22.01.2014;SU26202RMFS0;0.0000;6.10;94.8033
22.01.2014;SU26205RMFS3;-0.0031;7.67;102.2792
22.01.2014;SU26206RMFS1;0.0180;6.93;102.4588
22.01.2014;SU26207RMFS9;-0.0344;8.10;105.0786
22.01.2014;SU26208RMFS7;-0.0185;7.31;104.2057
22.01.2014;SU26209RMFS5;0.0000;7.82;103.2012
22.01.2014;SU26210RMFS3;-0.0026;7.48;98.0801
22.01.2014;SU26211RMFS1;-0.0109;7.87;98.5890
22.01.2014;SU26212RMFS9;-0.0001;8.20;95.0214
22.01.2014;SU26214RMFS5;0.0166;7.58;95.6621
22.01.2014;SU26215RMFS2;0.0393;7.97;97.2633
23.01.2014;SU25068RMFS6;0.0734;6.09;96.6754
23.01.2014;SU25075RMFS1;-0.0846;6.18;91.5301
23.01.2014;SU25077RMFS7;-0.0025;6.44;88.3108
23.01.2014;SU25079RMFS3;0.0000;6.23;92.1161
23.01.2014;SU25080RMFS1;0.0619;6.94;103.5197
23.01.2014;SU25081RMFS9;0.0295;7.15;100.0287
23.01.2014;SU26202RMFS0;0.0000;6.10;94.8178
23.01.2014;SU26205RMFS3;-0.0267;7.68;102.2347
23.01.2014;SU26206RMFS1;0.0720;7.00;102.2888
23.01.2014;SU26207RMFS9;-0.0195;8.15;104.7232
23.01.2014;SU26208RMFS7;-0.0376;7.32;104.1774
23.01.2014;SU26209RMFS5;-0.0002;7.85;103.0190
23.01.2014;SU26210RMFS3;-0.0042;7.51;97.9650
23.01.2014;SU26211RMFS1;-0.0360;7.88;98.5357
23.01.2014;SU26212RMFS9;0.0249;8.26;94.6119
23.01.2014;SU26214RMFS5;0.0058;7.60;95.5693
23.01.2014;SU26215RMFS2;0.0440;8.01;97.0405
24.01.2014;SU25068RMFS6;0.0410;6.19;96.6367
24.01.2014;SU25075RMFS1;-0.0506;6.29;91.4085
24.01.2014;SU25077RMFS7;0.0000;6.50;88.2280
24.01.2014;SU25079RMFS3;-0.0614;6.25;92.0986
24.01.2014;SU25080RMFS1;0.0001;6.93;103.5459
24.01.2014;SU25081RMFS9;0.0009;7.18;99.9366
24.01.2014;SU26202RMFS0;0.0000;6.21;94.7456
24.01.2014;SU26205RMFS3;0.0000;7.80;101.6531
24.01.2014;SU26206RMFS1;0.0185;7.00;102.2893
24.01.2014;SU26207RMFS9;-0.0542;8.21;104.2475
24.01.2014;SU26208RMFS7;0.0000;7.43;103.7629
24.01.2014;SU26209RMFS5;0.0000;7.95;102.4944
24.01.2014;SU26210RMFS3;-0.0001;7.60;97.6053
24.01.2014;SU26211RMFS1;-0.0001;8.01;97.8033
24.01.2014;SU26212RMFS9;-0.0069;8.32;94.1382
24.01.2014;SU26214RMFS5;0.0107;7.69;95.1712
24.01.2014;SU26215RMFS2;0.0198;8.08;96.6116
27.01.2014;SU25068RMFS6;0.0074;6.12;96.7182
27.01.2014;SU25075RMFS1;-0.0317;6.37;91.3645
27.01.2014;SU25077RMFS7;-0.0001;6.60;88.1127
27.01.2014;SU25079RMFS3;0.0024;6.36;92.0230
27.01.2014;SU25080RMFS1;0.0092;7.07;103.2115
27.01.2014;SU25081RMFS9;0.0247;7.34;99.4852
27.01.2014;SU26202RMFS0;0.0000;6.21;94.7923
27.01.2014;SU26205RMFS3;-0.0077;7.87;101.3273
27.01.2014;SU26206RMFS1;0.0003;7.11;102.0112
27.01.2014;SU26207RMFS9;-0.0487;8.26;103.9395
27.01.2014;SU26208RMFS7;0.0000;7.55;103.3566
27.01.2014;SU26209RMFS5;0.0024;8.02;102.1398
27.01.2014;SU26210RMFS3;-0.0058;7.69;97.2440
27.01.2014;SU26211RMFS1;0.0000;8.07;97.4833
27.01.2014;SU26212RMFS9;0.0000;8.38;93.8000
27.01.2014;SU26214RMFS5;0.0004;7.77;94.8495
27.01.2014;SU26215RMFS2;0.0167;8.14;96.3126
28.01.2014;SU25068RMFS6;0.0232;6.16;96.7153
28.01.2014;SU25075RMFS1;-0.0495;6.30;91.4604
28.01.2014;SU25077RMFS7;-0.0063;6.53;88.2407
28.01.2014;SU25079RMFS3;0.0000;6.32;92.0879
28.01.2014;SU25080RMFS1;0.0472;7.06;103.2677
28.01.2014;SU25081RMFS9;0.0000;7.27;99.7262
28.01.2014;SU26202RMFS0;0.0000;6.20;94.8142
28.01.2014;SU26205RMFS3;0.0038;7.85;101.4350
28.01.2014;SU26206RMFS1;0.0225;7.09;102.1084
28.01.2014;SU26207RMFS9;-0.0343;8.27;103.9382
28.01.2014;SU26208RMFS7;0.0000;7.51;103.5299
28.01.2014;SU26209RMFS5;0.0000;7.99;102.3090
28.01.2014;SU26210RMFS3;0.0000;7.66;97.3883
28.01.2014;SU26211RMFS1;0.0000;8.05;97.6265
28.01.2014;SU26212RMFS9;-0.0001;8.37;93.8915
28.01.2014;SU26214RMFS5;0.0000;7.74;95.0164
28.01.2014;SU26215RMFS2;0.0167;8.12;96.4473
29.01.2014;SU25068RMFS6;0.0021;6.23;96.6946
29.01.2014;SU25075RMFS1;-0.0241;6.45;91.2948
29.01.2014;SU25077RMFS7;0.0000;6.68;88.0162
29.01.2014;SU25079RMFS3;-0.0001;6.43;91.9706
29.01.2014;SU25080RMFS1;0.0091;7.20;102.9064
29.01.2014;SU25081RMFS9;0.0001;7.45;99.1435
29.01.2014;SU26202RMFS0;0.0000;6.30;94.7525
29.01.2014;SU26205RMFS3;0.0000;8.01;100.6619
29.01.2014;SU26206RMFS1;0.0032;7.25;101.6697
29.01.2014;SU26207RMFS9;-0.0164;8.38;103.1168
29.01.2014;SU26208RMFS7;0.0000;7.69;102.8161
29.01.2014;SU26209RMFS5;0.0000;8.13;97.7482
29.01.2014;SU26210RMFS3;0.0000;7.84;96.6400
29.01.2014;SU26211RMFS1;-0.0021;8.18;96.9065
29.01.2014;SU26212RMFS9;0.0133;8.47;93.1777
29.01.2014;SU26214RMFS5;0.0000;7.91;94.2636
29.01.2014;SU26215RMFS2;0.0037;8.23;95.8159
30.01.2014;SU25068RMFS6;0.0021;6.48;96.5848
30.01.2014;SU25075RMFS1;0.0000;6.72;90.9734
30.01.2014;SU25077RMFS7;-0.0453;6.85;87.7535
30.01.2014;SU25079RMFS3;0.0000;6.69;91.6939
30.01.2014;SU25080RMFS1;0.0000;7.35;102.4963
30.01.2014;SU25081RMFS9;0.0000;7.60;98.6823
30.01.2014;SU26202RMFS0;0.0000;6.57;94.5600
30.01.2014;SU26205RMFS3;0.0004;8.13;100.0329
30.01.2014;SU26206RMFS1;0.0182;7.42;101.1853
30.01.2014;SU26207RMFS9;-0.0381;8.41;102.8739
30.01.2014;SU26208RMFS7;0.0000;7.84;102.2575
30.01.2014;SU26209RMFS5;0.0000;8.24;97.1629
30.01.2014;SU26210RMFS3;0.0000;7.98;96.0483
30.01.2014;SU26211RMFS1;0.0011;8.28;96.3489
30.01.2014;SU26212RMFS9;0.0005;8.50;92.9360
30.01.2014;SU26214RMFS5;0.0000;8.05;93.6667
30.01.2014;SU26215RMFS2;0.0000;8.31;95.3270
31.01.2014;SU25068RMFS6;0.0000;6.36;96.6610
31.01.2014;SU25075RMFS1;0.0000;6.71;90.9975
31.01.2014;SU25077RMFS7;-0.0100;6.91;87.6656
31.01.2014;SU25079RMFS3;0.0000;6.67;91.7302
31.01.2014;SU25080RMFS1;0.0000;7.40;102.3926
31.01.2014;SU25081RMFS9;0.0001;7.65;98.5408
31.01.2014;SU26202RMFS0;0.0000;6.50;94.6320
31.01.2014;SU26205RMFS3;0.0297;8.22;99.6226
31.01.2014;SU26206RMFS1;0.0082;7.46;101.1024
31.01.2014;SU26207RMFS9;-0.0393;8.43;102.7423
31.01.2014;SU26208RMFS7;-0.0009;7.89;102.0623
31.01.2014;SU26209RMFS5;0.0003;8.29;96.8981
31.01.2014;SU26210RMFS3;-0.0224;8.01;95.9172
31.01.2014;SU26211RMFS1;0.0217;8.35;95.9792
31.01.2014;SU26212RMFS9;0.0020;8.52;92.8412
31.01.2014;SU26214RMFS5;0.0044;8.11;93.4083
31.01.2014;SU26215RMFS2;0.0000;8.35;95.0868
03.02.2014;SU25068RMFS6;0.0000;6.26;91.2713
03.02.2014;SU25075RMFS1;0.0000;6.75;90.6246
03.02.2014;SU25077RMFS7;0.0000;6.99;87.3236
03.02.2014;SU25079RMFS3;-0.0008;6.69;90.5663
03.02.2014;SU25080RMFS1;0.0357;7.44;100.2384
03.02.2014;SU25081RMFS9;0.0000;7.61;95.6573
03.02.2014;SU26202RMFS0;0.0000;6.44;93.2481
03.02.2014;SU26205RMFS3;0.0010;8.06;98.3418
03.02.2014;SU26206RMFS1;0.0124;7.46;100.1909
03.02.2014;SU26207RMFS9;-0.0087;8.34;99.7899
03.02.2014;SU26208RMFS7;0.0000;7.80;99.3246
03.02.2014;SU26209RMFS5;0.0000;8.15;97.5980
03.02.2014;SU26210RMFS3;-0.0017;7.92;95.4842
03.02.2014;SU26211RMFS1;0.0000;8.19;93.4628
03.02.2014;SU26212RMFS9;0.0283;8.42;90.1583
03.02.2014;SU26214RMFS5;0.0000;7.98;92.9587
03.02.2014;SU26215RMFS2;-0.0004;8.22;93.0021
04.02.2014;SU25068RMFS6;0.0000;6.19;91.2872
04.02.2014;SU25075RMFS1;0.0000;6.65;90.7417
04.02.2014;SU25077RMFS7;-0.0024;6.88;87.4945
04.02.2014;SU25079RMFS3;0.0000;6.60;90.6698
04.02.2014;SU25080RMFS1;0.0000;7.29;100.6265
04.02.2014;SU25081RMFS9;0.0000;7.50;99.0999
04.02.2014;SU26202RMFS0;0.0000;6.37;93.2944
04.02.2014;SU26205RMFS3;0.0113;7.96;98.8834
04.02.2014;SU26206RMFS1;0.0000;7.34;100.5344
04.02.2014;SU26207RMFS9;-0.0014;8.24;100.5617
04.02.2014;SU26208RMFS7;0.0000;7.70;99.7492
04.02.2014;SU26209RMFS5;0.0000;8.04;98.2261
04.02.2014;SU26210RMFS3;0.0000;7.82;95.9384
04.02.2014;SU26211RMFS1;-0.0037;8.08;97.6022
04.02.2014;SU26212RMFS9;0.0244;8.31;94.5560
04.02.2014;SU26214RMFS5;0.0043;7.88;93.4216
04.02.2014;SU26215RMFS2;0.0000;8.11;93.6680
05.02.2014;SU25068RMFS6;0.0000;6.14;91.2922
05.02.2014;SU25075RMFS1;-0.0015;6.54;90.8743
05.02.2014;SU25077RMFS7;-0.0071;6.75;87.7008
05.02.2014;SU25079RMFS3;0.0004;6.49;90.7834
05.02.2014;SU25080RMFS1;0.0010;7.19;100.9148
05.02.2014;SU25081RMFS9;0.0360;7.44;96.2318
05.02.2014;SU26202RMFS0;0.0644;6.36;93.2856
05.02.2014;SU26205RMFS3;0.0011;7.85;99.4130
05.02.2014;SU26206RMFS1;0.0005;7.23;100.8293
05.02.2014;SU26207RMFS9;-0.0001;8.17;101.1291
05.02.2014;SU26208RMFS7;-0.0042;7.59;100.1731
05.02.2014;SU26209RMFS5;-0.0025;7.95;98.7710
05.02.2014;SU26210RMFS3;0.0000;7.71;96.3929
05.02.2014;SU26211RMFS1;0.0000;8.00;94.6270
05.02.2014;SU26212RMFS9;0.0675;8.28;91.2489
05.02.2014;SU26214RMFS5;0.0577;7.83;93.7030
05.02.2014;SU26215RMFS2;-0.0289;8.00;94.3280
06.02.2014;SU25068RMFS6;0.0059;6.19;91.2526
06.02.2014;SU25075RMFS1;0.0000;6.52;90.8968
06.02.2014;SU25077RMFS7;0.0000;6.73;87.7273
06.02.2014;SU25079RMFS3;-0.0251;6.45;90.8316
06.02.2014;SU25080RMFS1;0.0522;7.23;100.8085
06.02.2014;SU25081RMFS9;0.0000;7.39;96.3716
06.02.2014;SU26202RMFS0;0.0502;6.35;93.2803
06.02.2014;SU26205RMFS3;0.0000;7.84;99.4830
06.02.2014;SU26206RMFS1;0.0000;7.22;100.8632
06.02.2014;SU26207RMFS9;-0.0003;8.19;100.9453
06.02.2014;SU26208RMFS7;0.0000;7.58;100.2287
06.02.2014;SU26209RMFS5;0.0000;7.95;98.7615
06.02.2014;SU26210RMFS3;-0.0142;7.68;96.5406
06.02.2014;SU26211RMFS1;0.0000;8.00;94.5974
06.02.2014;SU26212RMFS9;0.0316;8.27;91.2691
06.02.2014;SU26214RMFS5;0.0057;7.76;93.9816
06.02.2014;SU26215RMFS2;0.0000;8.04;94.1273
07.02.2014;SU25068RMFS6;0.0007;6.09;91.2164
07.02.2014;SU25075RMFS1;0.0000;6.45;90.9472
07.02.2014;SU25077RMFS7;0.0079;6.68;87.7680
07.02.2014;SU25079RMFS3;-0.0094;6.39;90.8575
07.02.2014;SU25080RMFS1;0.0765;7.24;100.7519
07.02.2014;SU25081RMFS9;0.0000;7.40;96.3135
07.02.2014;SU26202RMFS0;0.1115;6.33;93.2247
07.02.2014;SU26205RMFS3;0.0000;7.84;99.4170
07.02.2014;SU26206RMFS1;0.0052;7.22;100.8261
07.02.2014;SU26207RMFS9;-0.0217;8.15;101.1970
07.02.2014;SU26208RMFS7;0.0000;7.59;100.1335
07.02.2014;SU26209RMFS5;0.0000;7.95;98.7473
07.02.2014;SU26210RMFS3;-0.0157;7.69;96.4478
07.02.2014;SU26211RMFS1;0.0000;7.99;94.6094
07.02.2014;SU26212RMFS9;0.0499;8.27;91.2514
07.02.2014;SU26214RMFS5;0.0000;7.77;93.9157
07.02.2014;SU26215RMFS2;-0.0005;8.03;94.1673
10.02.2014;SU25068RMFS6;0.0046;6.09;91.2311
10.02.2014;SU25075RMFS1;-0.0060;6.42;91.0057
10.02.2014;SU25077RMFS7;0.0002;6.66;87.8282
10.02.2014;SU25079RMFS3;-0.0165;6.36;90.9153
10.02.2014;SU25080RMFS1;0.0967;7.24;100.8186
10.02.2014;SU25081RMFS9;0.0000;7.38;96.4194
10.02.2014;SU26202RMFS0;0.1060;6.30;93.2714
10.02.2014;SU26205RMFS3;0.0045;7.84;99.4674
10.02.2014;SU26206RMFS1;0.0159;7.21;100.8984
10.02.2014;SU26207RMFS9;0.0008;8.17;101.0655
10.02.2014;SU26208RMFS7;-0.0251;7.55;100.3151
10.02.2014;SU26209RMFS5;-0.0001;7.94;98.8041
10.02.2014;SU26210RMFS3;0.0000;7.69;96.4775
10.02.2014;SU26211RMFS1;-0.0035;7.99;94.6792
10.02.2014;SU26212RMFS9;0.0474;8.27;91.3144
10.02.2014;SU26214RMFS5;0.0046;7.76;93.9778
10.02.2014;SU26215RMFS2;-0.0122;8.01;94.2842
11.02.2014;SU25068RMFS6;0.0209;6.12;91.2023
11.02.2014;SU25075RMFS1;0.0000;6.47;90.9466
11.02.2014;SU25077RMFS7;-0.0007;6.70;87.7588
11.02.2014;SU25079RMFS3;-0.0141;6.40;90.8687
11.02.2014;SU25080RMFS1;0.0736;7.23;100.7921
11.02.2014;SU25081RMFS9;0.0004;7.39;96.4019
11.02.2014;SU26202RMFS0;0.0547;6.27;93.2609
11.02.2014;SU26205RMFS3;0.0063;7.86;99.3673
11.02.2014;SU26206RMFS1;0.0392;7.25;100.7907
11.02.2014;SU26207RMFS9;-0.0037;8.21;100.8038
11.02.2014;SU26208RMFS7;-0.0194;7.56;100.2897
11.02.2014;SU26209RMFS5;-0.0001;7.97;98.6608
11.02.2014;SU26210RMFS3;-0.0216;7.68;96.5306
11.02.2014;SU26211RMFS1;-0.0072;8.01;94.5397
11.02.2014;SU26212RMFS9;0.0608;8.32;90.8556
11.02.2014;SU26214RMFS5;0.0558;7.82;93.6899
11.02.2014;SU26215RMFS2;0.0000;8.06;94.0249
12.02.2014;SU25068RMFS6;0.0561;6.21;91.1435
12.02.2014;SU25075RMFS1;0.0000;6.43;90.9848
12.02.2014;SU25077RMFS7;-0.0007;6.64;87.8548
12.02.2014;SU25079RMFS3;-0.0316;6.36;90.9096
